# Virtual Drums debug log (per finger per frame)
# measured_fps=15.13
# smoothing_frames=2  velocity_delta_frames=1
# STRIKE_SPEED_THRESHOLD(px/s)=130.0  DECEL_SPEED_THRESHOLD(px/s)=60.0
# CONTACT_BAND_PX=25.0  arm_clearance_px=13.9
# strike_axis=y  approach_sign=1
# contact_zeros: right_thumb=391.0, right_index=407.0, right_middle=411.0, right_ring=412.0, right_pinky=409.0, left_thumb=414.0, left_index=407.0, left_middle=404.0, left_ring=414.0, left_pinky=418.0
# events: warmup/vel_warmup/dt_zero/approach/medium/FIRE/impact_noarm/impact_noreach/slow_stop
ts_ms,finger,hand,raw_y,smoothed_y,velocity_pxps,depth,armed,was_fast,deepest_y,contact_zero_y,arm_line_y,event,fired,strike_speed
13655,right_thumb,Right,394.00,,,,0,0,,391.00,377.07,warmup,0,
13655,right_index,Right,403.00,,,,0,0,,407.00,393.07,warmup,0,
13655,right_middle,Right,408.00,,,,0,0,,411.00,397.07,warmup,0,
13655,right_ring,Right,414.00,,,,0,0,,412.00,398.07,warmup,0,
13655,right_pinky,Right,410.00,,,,0,0,,409.00,395.07,warmup,0,
13655,left_thumb,Left,412.00,,,,0,0,,414.00,400.07,warmup,0,
13655,left_index,Left,407.00,,,,0,0,,407.00,393.07,warmup,0,
13655,left_middle,Left,406.00,,,,0,0,,404.00,390.07,warmup,0,
13655,left_ring,Left,413.00,,,,0,0,,414.00,400.07,warmup,0,
13655,left_pinky,Left,418.00,,,,0,0,,418.00,404.07,warmup,0,
13733,right_thumb,Right,397.00,395.50,,395.50,0,0,,391.00,377.07,vel_warmup,0,
13733,right_index,Right,408.00,405.50,,405.50,0,0,,407.00,393.07,vel_warmup,0,
13733,right_middle,Right,411.00,409.50,,409.50,0,0,,411.00,397.07,vel_warmup,0,
13733,right_ring,Right,417.00,415.50,,415.50,0,0,,412.00,398.07,vel_warmup,0,
13733,right_pinky,Right,413.00,411.50,,411.50,0,0,,409.00,395.07,vel_warmup,0,
13733,left_thumb,Left,416.00,414.00,,414.00,0,0,,414.00,400.07,vel_warmup,0,
13733,left_index,Left,408.00,407.50,,407.50,0,0,,407.00,393.07,vel_warmup,0,
13733,left_middle,Left,406.00,406.00,,406.00,0,0,,404.00,390.07,vel_warmup,0,
13733,left_ring,Left,413.00,413.00,,413.00,0,0,,414.00,400.07,vel_warmup,0,
13733,left_pinky,Left,420.00,419.00,,419.00,0,0,,418.00,404.07,vel_warmup,0,
13812,right_thumb,Right,391.00,394.00,-18.99,394.00,0,0,,391.00,377.07,slow_stop,0,
13812,right_index,Right,407.00,407.50,25.32,407.50,0,0,,407.00,393.07,slow_stop,0,
13812,right_middle,Right,410.00,410.50,12.66,410.50,0,0,,411.00,397.07,slow_stop,0,
13812,right_ring,Right,416.00,416.50,12.66,416.50,0,0,,412.00,398.07,slow_stop,0,
13812,right_pinky,Right,413.00,413.00,18.99,413.00,0,0,,409.00,395.07,slow_stop,0,
13812,left_thumb,Left,415.00,415.50,18.99,415.50,0,0,,414.00,400.07,slow_stop,0,
13812,left_index,Left,406.00,407.00,-6.33,407.00,0,0,,407.00,393.07,slow_stop,0,
13812,left_middle,Left,407.00,406.50,6.33,406.50,0,0,,404.00,390.07,slow_stop,0,
13812,left_ring,Left,415.00,414.00,12.66,414.00,0,0,,414.00,400.07,slow_stop,0,
13812,left_pinky,Left,419.00,419.50,6.33,419.50,0,0,,418.00,404.07,slow_stop,0,
13875,right_thumb,Right,392.00,391.50,-39.68,391.50,0,0,,391.00,377.07,slow_stop,0,
13875,right_index,Right,409.00,408.00,7.94,408.00,0,0,,407.00,393.07,slow_stop,0,
13875,right_middle,Right,414.00,412.00,23.81,412.00,0,0,,411.00,397.07,slow_stop,0,
13875,right_ring,Right,418.00,417.00,7.94,417.00,0,0,,412.00,398.07,slow_stop,0,
13875,right_pinky,Right,412.00,412.50,-7.94,412.50,0,0,,409.00,395.07,slow_stop,0,
13875,left_thumb,Left,418.00,416.50,15.87,416.50,0,0,,414.00,400.07,slow_stop,0,
13875,left_index,Left,407.00,406.50,-7.94,406.50,0,0,,407.00,393.07,slow_stop,0,
13875,left_middle,Left,405.00,406.00,-7.94,406.00,0,0,,404.00,390.07,slow_stop,0,
13875,left_ring,Left,415.00,415.00,15.87,415.00,0,0,,414.00,400.07,slow_stop,0,
13875,left_pinky,Left,420.00,419.50,0.00,419.50,0,0,,418.00,404.07,slow_stop,0,
13937,right_thumb,Right,392.00,392.00,8.06,392.00,0,0,,391.00,377.07,slow_stop,0,
13937,right_index,Right,409.00,409.00,16.13,409.00,0,0,,407.00,393.07,slow_stop,0,
13937,right_middle,Right,411.00,412.50,8.06,412.50,0,0,,411.00,397.07,slow_stop,0,
13937,right_ring,Right,416.00,417.00,0.00,417.00,0,0,,412.00,398.07,slow_stop,0,
13937,right_pinky,Right,413.00,412.50,0.00,412.50,0,0,,409.00,395.07,slow_stop,0,
13937,left_thumb,Left,419.00,418.50,32.26,418.50,0,0,,414.00,400.07,slow_stop,0,
13937,left_index,Left,409.00,408.00,24.19,408.00,0,0,,407.00,393.07,slow_stop,0,
13937,left_middle,Left,407.00,406.00,0.00,406.00,0,0,,404.00,390.07,slow_stop,0,
13937,left_ring,Left,417.00,416.00,16.13,416.00,0,0,,414.00,400.07,slow_stop,0,
13937,left_pinky,Left,420.00,420.00,8.06,420.00,0,0,,418.00,404.07,slow_stop,0,
14000,right_thumb,Right,395.00,393.50,23.81,393.50,0,0,,391.00,377.07,slow_stop,0,
14000,right_index,Right,409.00,409.00,0.00,409.00,0,0,,407.00,393.07,slow_stop,0,
14000,right_middle,Right,413.00,412.00,-7.94,412.00,0,0,,411.00,397.07,slow_stop,0,
14000,right_ring,Right,415.00,415.50,-23.81,415.50,0,0,,412.00,398.07,slow_stop,0,
14000,right_pinky,Right,410.00,411.50,-15.87,411.50,0,0,,409.00,395.07,slow_stop,0,
14000,left_thumb,Left,417.00,418.00,-7.94,418.00,0,0,,414.00,400.07,slow_stop,0,
14000,left_index,Left,407.00,408.00,0.00,408.00,0,0,,407.00,393.07,slow_stop,0,
14000,left_middle,Left,406.00,406.50,7.94,406.50,0,0,,404.00,390.07,slow_stop,0,
14000,left_ring,Left,414.00,415.50,-7.94,415.50,0,0,,414.00,400.07,slow_stop,0,
14000,left_pinky,Left,418.00,419.00,-15.87,419.00,0,0,,418.00,404.07,slow_stop,0,
14062,right_thumb,Right,392.00,393.50,0.00,393.50,0,0,,391.00,377.07,slow_stop,0,
14062,right_index,Right,403.00,406.00,-48.39,406.00,0,0,,407.00,393.07,slow_stop,0,
14062,right_middle,Right,411.00,412.00,0.00,412.00,0,0,,411.00,397.07,slow_stop,0,
14062,right_ring,Right,416.00,415.50,0.00,415.50,0,0,,412.00,398.07,slow_stop,0,
14062,right_pinky,Right,408.00,409.00,-40.32,409.00,0,0,,409.00,395.07,slow_stop,0,
14062,left_thumb,Left,420.00,418.50,8.06,418.50,0,0,,414.00,400.07,slow_stop,0,
14062,left_index,Left,409.00,408.00,0.00,408.00,0,0,,407.00,393.07,slow_stop,0,
14062,left_middle,Left,407.00,406.50,0.00,406.50,0,0,,404.00,390.07,slow_stop,0,
14062,left_ring,Left,415.00,414.50,-16.13,414.50,0,0,,414.00,400.07,slow_stop,0,
14062,left_pinky,Left,422.00,420.00,16.13,420.00,0,0,,418.00,404.07,slow_stop,0,
14125,right_thumb,Right,393.00,392.50,-15.87,392.50,0,0,,391.00,377.07,slow_stop,0,
14125,right_index,Right,408.00,405.50,-7.94,405.50,0,0,,407.00,393.07,slow_stop,0,
14125,right_middle,Right,409.00,410.00,-31.75,410.00,0,0,,411.00,397.07,slow_stop,0,
14125,right_ring,Right,416.00,416.00,7.94,416.00,0,0,,412.00,398.07,slow_stop,0,
14125,right_pinky,Right,410.00,409.00,0.00,409.00,0,0,,409.00,395.07,slow_stop,0,
14125,left_thumb,Left,419.00,419.50,15.87,419.50,0,0,,414.00,400.07,slow_stop,0,
14125,left_index,Left,407.00,408.00,0.00,408.00,0,0,,407.00,393.07,slow_stop,0,
14125,left_middle,Left,407.00,407.00,7.94,407.00,0,0,,404.00,390.07,slow_stop,0,
14125,left_ring,Left,416.00,415.50,15.87,415.50,0,0,,414.00,400.07,slow_stop,0,
14125,left_pinky,Left,417.00,419.50,-7.94,419.50,0,0,,418.00,404.07,slow_stop,0,
14187,right_thumb,Right,394.00,393.50,16.13,393.50,0,0,,391.00,377.07,slow_stop,0,
14187,right_index,Right,404.00,406.00,8.06,406.00,0,0,,407.00,393.07,slow_stop,0,
14187,right_middle,Right,410.00,409.50,-8.06,409.50,0,0,,411.00,397.07,slow_stop,0,
14187,right_ring,Right,417.00,416.50,8.06,416.50,0,0,,412.00,398.07,slow_stop,0,
14187,right_pinky,Right,411.00,410.50,24.19,410.50,0,0,,409.00,395.07,slow_stop,0,
14187,left_thumb,Left,415.00,417.00,-40.32,417.00,0,0,,414.00,400.07,slow_stop,0,
14187,left_index,Left,405.00,406.00,-32.26,406.00,0,0,,407.00,393.07,slow_stop,0,
14187,left_middle,Left,402.00,404.50,-40.32,404.50,0,0,,404.00,390.07,slow_stop,0,
14187,left_ring,Left,416.00,416.00,8.06,416.00,0,0,,414.00,400.07,slow_stop,0,
14187,left_pinky,Left,416.00,416.50,-48.39,416.50,0,0,,418.00,404.07,slow_stop,0,
14265,right_thumb,Right,392.00,393.00,-6.41,393.00,0,0,,391.00,377.07,slow_stop,0,
14265,right_index,Right,406.00,405.00,-12.82,405.00,0,0,,407.00,393.07,slow_stop,0,
14265,right_middle,Right,412.00,411.00,19.23,411.00,0,0,,411.00,397.07,slow_stop,0,
